key	zh	en	es	fr	de	it	ja	ko	pt-BR	ru
ST20_CORPSES/DLG_2021_0	在这些悬崖峭壁上，在积雪深渊的脚下，一个秘密的根源等待着那些有耐心的人…	On these cliffs, located at the foot of a snowy abyss, the roots of a secret await those who are patient...	En estos riscos, situado al pie de un abismo nevado, las raíces de un secreto aguardan al paciente...	Sur ces falaises, au pied d'un abîme enneigé, les racines d'un secret attendent ceux qui sont patients.	Auf diesen Klippen, am Fuße eines verschneiten Abgrundes, warten die Wurzeln eines Geheimnisses auf jenen, der geduldig wartet.	Su questi dirupi, situati sul fondo di un abisso innevato, le radici di un segreto attendono chi sa avere pazienza...	雪に覆われた奈落の底、この絶壁の上で、@秘密の根は忍耐強い者が訪れる時を待っている……	눈 덮인 구렁텅이 기슭에 위치한 이 절벽에는 인내심이 있는 이들을 기다리는 비밀의 뿌리가 있다...	Nesses penhascos, situados aos pés de um abismo nevado, as raízes de um segredo aguardam os pacientes...	На этих скалах на дне снежной бездны корни тайны ждут терпеливых...
ST20_CORPSES/DLG_2022_0	一上一下，一上一下…比疼痛更糟糕，比寒冷更糟糕的就是吱吱声，那该死的生锈机器地板上不断发出的吱吱声	Up and down, up and down... worse than pain, and worse than cold is the squeaking, the incessant squeaking of that damned floor of rusty mechanisms.	Arriba, abajo, arriba, abajo... peor que el dolor, peor que el frío, es el chirrido, el incesante chirrido de ese maldito suelo de mecanismos oxidados.	Monter et descendre, monter et descendre... pire que la douleur, pire que le froid, il y a le grincement, le grincement incessant de ce maudit sol aux mécanismes rouillés.	Hoch und runter, hoch und runter ... schlimmer als der Schmerz, schlimmer als die Kälte, ist das unablässige Quietschen dieses verfluchten Bodens voller rostiger Mechanismen.	Su e giù, su e giù... Peggio del dolore e peggio del freddo c'è solo quel cigolio, l'incessante cigolio di quel maledetto antro dai meccanismi arrugginiti.	上へ下へ、上へ下へ……痛みよりも、寒さよりも@煩しいのはあの軋む音、あの錆び付いた仕掛けの@忌々しい床から絶え間なく発せられる、あの軋む音だ。	위아래, 위아래... 고통보다 더 끔찍하고 추위보다 더 끔찍한 것은 삐걱거리는 소리다. 저주받은 녹슨 바닥에서 끊임없이 들려오는 삐걱거리는 소리다.	Para cima, para baixo, para cima, para baixo... pior do que a dor e pior do que o frio é o rangido, o incessante rangido desse maldito chão de mecanismos enferrujados.	Вверх и вниз, вверх и вниз... хуже боли и хуже холода скрип, нескончаемый скрип этого проклятого пола и ржавых механизмов.
ST20_CORPSES/DLG_2022_1	为什么人们会把它用得这么狠呢？	Why would anyone want to use it so much?	¿Por qué querría nadie usarlo tanto?	Pourquoi voudrait-on l'emprunter autant ?	Warum sollte jemand so unablässig Gebrauch davon machen?	Perché mai qualcuno dovrebbe volerlo usare così tanto?	そんなに使いたくなるものなのだろうか？	대체 누가 왜 이것을 그렇게 많이 사용하려는 걸까?	Será que alguém precisa usá-lo tanto assim?	Зачем все хотят им воспользоваться?
ST20_CORPSES/DLG_2023_0	一些最珍贵的禁断艺术品被放逐到了遗忘之地，并被这些墙所吞噬…	Banished to oblivion, and prey to these walls, are some of the most valuable forbidden works of art...	Confinadas en el olvido, presas de estos muros se encuentran algunas de las obras prohibidas más valiosas...	Certaines des œuvres d'art interdites les plus précieuses furent bannies dans l'oubli, devenues proies de ces murs.	Einige der wertvollsten verbotenen Kunstwerke wurden dem Vergessen anheim gegeben, eine Beute dieser Mauern ...	Condannate all'oblio, sequestrate fra quelle mura, giacciono alcune delle opere proibite di maggior valore...	忘却の彼方へと消えていった作品、この壁の餌食となった作品こそ、@この世で最も価値ある禁じられた芸術なのだ……	망각으로 추방되고 이 벽에 희생 당한 것들은 금지된 가장 소중한 예술 작품이다...	Banidas no esquecimento, e expostas nestas paredes, estão algumas das obras de arte proibidas mais valiosas...	Обреченные на забвение, ставшие добычей стен сих, хранятся здесь самые ценные запретные шедевры...
ST20_CORPSES/DLG_2024_0	修女们在地窖里的两个圣像面前卑躬屈膝。他们可能在保守什么秘密…	The sisters humble themselves before two holy figures in their crypts. What secrets might they be keeping...	Las hermanas se humillan ante dos santas figuras en sus criptas. Qué secretos custodiaran...	Les sœurs s'humilient devant deux silhouettes sacrées de leur crypte. Quels secrets peuvent-elles garder... ?	Die Schwestern beugen ihr Haupt vor zwei heiligen Gestalten in ihrer Krypta. Welche Geheimnisse mögen sie bergen ...	Le sorelle si umiliano di fronte a due figure sacre nelle loro cripte. Chissà quali segreti custodiscono...	修道女たちは、地下に安置された二体の聖なる彫像に跪いた。@どんな秘密が隠されているのだろうか……	지하실에서 신성한 두 인물 앞에 자매가 자신의 몸을 낮추고 있다. 그들이 지키는 비밀이 무엇일까...	As irmãs se prostram humildes perante as duas figuras sagradas em suas criptas. Quais segredos elas guardam...	Сестры смиренно простерлись перед двумя священными фигурами в криптах. Какие тайны могут хранить они?..
ST20_CORPSES/DLG_2024_1	他们的眼睛期待着牺牲，期待着痛苦，期待着鲜血…	Their eyes anticipate sacrifices, anticipate pain, anticipate blood...	Sus miradas esperan sacrificios, esperan dolor, esperan sangre...	Leurs yeux attendent les sacrifices, attendent la douleur, attendent le sang...	Ihre Augen erwarten Opfer, erwarten Schmerz, erwarten Blut ...	I loro occhi agognano sacrificio, bramano dolore, desiderano sangue...	彼らの目は生贄を、痛みを、血を欲し期待していた……	그들의 눈은 희생을 기대하고, 고통을 기대하고, 피를 기대한다...	Os olhos delas preveem sacrifícios, preveem dor, preveem sangue...	Их очи предчувствуют жертвы, предчувствуют боль, предчувствуют кровь...
ST20_CORPSES/DLG_2025_0	一半的人没有回来…	Half do not return...	La mitad no vuelve...	La moitié n'en revient jamais...	Die Hälfte kehrt nicht zurück ...	La metà non torna...	半分は戻らない……	절반은 돌아오지 않는다...	Metade não retorna...	Половина не возвращается...
ST20_CORPSES/DLG_2026_0	大家全部通过…	Everyone passes...	Todos pasan...	Tout le monde passe...	Jeder kommt hindurch ...	Tutti passano...	誰も彼もが通り過ぎる……	모두 지나간다...	Todos passam...	Все проходят...
ST20_CORPSES/DLG_2027_0	地下之路并非正途。地道之中流传着这样的谎言。狂风啸声、波涛呼声不绝于耳，但是此间既无风也无海…桅杆上燃烧的蓝色火焰也无法灼烧我们的双手…	Beneath the earth the paths are misleading. This is the lie that haunts these tunnels. The howl of the wind and the roar of the waves can be heard and yet, there is no wind or sea... Not even the blue flame atop the masts burns our hands...	Bajo la tierra los caminos son engañosos. Es la mentira la que deambula por estos túneles. Suenan el viento y las olas sin que haya viento, o haya mar... Ni siquiera el fuego azul de lo alto de los mástiles quema nuestras manos...	Sous la terre, les chemins nous égarent. Tel est le mensonge qui hante ces tunnels. On entend hurler le vent et rugir les vagues, mais il n'y a ni vent, ni mer... Même le feu bleu sur notre mât ne nous brûle pas les mains...	Unter der Erde führen die Wege in die Irre. Dies ist die Lüge, die diese Tunnel heimsucht. Man hört das Heulen des Sturms und das Tosen der Wellen, obgleich dort weder Wind noch Meer existieren ... Nicht einmal die blaue Flamme an der Spitze des Masts verbrennt unsere Hände ...	Sotto la terra i sentieri sono ingannevoli. Questa è la menzogna che infesta questi tunnel. Si ode l'ululato del vento e il fragore delle onde, eppure non c'è né vento né mare... Nemmeno la fiamma blu in cima agli alberi può bruciarci le mani...	地中の道は人を惑わす。これは、これらのトンネルを苛むまやかしだ。@風が哭く音や波が唸る音は聞こえて来るのに、@風や海はどこにも見当たらない……マストの頂点にある青い炎でさえ、@我らの手を焼くことはない……	대지 아래의 길은 잘못된 곳으로 이어져 있다. 이 터널에서 나타나는 것들은 거짓이다. 바람의 울부짖음과 파도의 포효가 들리지만, 이곳에는 바람도 바다도 없다... 돛대 꼭대기의 파란색 불꽃에도 손이 타지 않는다...	Abaixo da terra os caminhos são enganosos. A mentira assombra estes túneis. Dá pra ouvir o uivo do vento e o estouro das ondas, no entanto, não há vento, não há mar... Nem mesmo a chama azul acima dos mastros queima as nossas mãos...	Под землей все дороги ведут ложным путем. В этих туннелях скитается ложь. Доносятся вой ветра и рев волн, но здесь нет ни ветра, ни моря... И даже синее пламя на вершине мачты не опаляет наших рук...
ST20_CORPSES/DLG_2028_0	一道圣光照亮了铁树最高处的枝杈。夺目的光辉透过高墙，射入大厅，而她就安身于此，在这圣光的照耀下，我的眼睛泛着紫光。	A sacred light stains the highest branches of the iron tree. Its brilliance penetrates its walls into the hall where she rests, shrouding my eyes in purple darkness.	Una luz sagrada está tiñendo las ramas más altas del árbol férreo. Ese brillo está penetrando por sus paredes hasta el interior de la galería donde ella descansa, velando mis ojos con una oscuridad púrpura.	Une lumière sacrée tache les branches les plus hautes de l'arbre de fer. Son éclat pénètre les murs de la salle où elle gît et dépose sur mes yeux un linceul violet.	Ein heiliges Licht befleckt die höchsten Zweige des Eisernen Baums. Sein Strahlen durchdringt seine Mauern bis in die Halle, in der sie ruht, meine Augen mit seiner violetten Finsternis umwölkend.	Una luce sacra tinge i rami più alti dell'albero di ferro. La sua brillantezza penetra le pareti nella sala dove riposa, avvolgendo i miei occhi in un'oscurità viola.	鉄の樹の一番高い枝には、聖なる光が染み込んでいる。@その輝きは壁をも貫いて彼女が眠る広間まで届き、@私の目を紫色の暗闇で覆い隠している。	신성한 빛이 강철 나무의 가장 높은 가지를 물들인다. 광휘가 벽을 뚫고 그녀가 쉬는 홀까지 다다르니 보라색 어둠이 내 눈을 가린다.	Uma luz sagrada tinge os galhos mais altos da árvore de ferro. O brilho penetra pelas paredes e chega ao salão onde ela descansa, encobrindo meus olhos numa escuridão púrpura.	Священный свет озаряет верхние ветки железного древа. Его сияние проникает через стены в зал, где покоится она, покрывая мои глаза в пурпурной тьме.
ST20_CORPSES/DLG_2029_0	我听到上面有脚步声，那声音远在根须之上。我听到了岩石后面有嘈乱的喘息之声。我听到了附近有蠕虫，在向我一步步蠕动。	I hear footsteps up above me, beyond the roots. I hear irregular, raspy breathing from behind the rock. I hear the worms nearby, slithering towards me.	Oigo pasos arriba, más allá de las raíces. Oigo una respiración errática, entrecortada, tras la piedra. Oigo a los gusanos reptando cerca, vienen hacia mí.	J'entends des pas au-dessus de moi, par-delà les racines. J'entends un souffle rauque, irrégulier, derrière le rocher. J'entends les vers, qui approchent en rampant.	Ich höre Schritte über mir, jenseits des Wurzelwerks. Ich höre hinter dem Felsen unregelmäßige, raue Atemzüge. Ich höre die Würmer in meiner Nähe, die auf mich zukriechen.	Sento dei passi sopra di me, oltre le radici. Sento un respiro irregolare e rauco da dietro la roccia. Sento i vermi vicini, che strisciano verso di me.	頭の上から、根の向こう側から足音が聞こえる。@岩の向こう側から不規則な、耳障りな呼吸が聞こえる。@あたりの芋虫が、ずるずるとこちらへ這ってくる音が聞こえる。	내 위 뿌리 너머로 발소리가 들린다. 바위 뒤에서 불규칙하고 거친 호흡 소리가 들린다. 날 향해 기어오는 벌레의 소리가 들린다.	Ouço passos acima de mim, além das raízes. Ouço uma respiração áspera, irregular atrás da rocha. Ouço os vermes por perto, rastejando na minha direção.	Я слышу шаги надо мной, за корнями. Из-за камня я слышу прерывистое, скрежещущее дыхание. Я слышу поблизости червей, ползущих ко мне.
ST20_CORPSES/DLG_2030_0	大门欺骗了我，它们挺不想让我离去。墙壁才是唯一不会撒谎的。穿过墙壁才有逃出此地的路…	The doors are deceiving me, they do not want me to go. The walls are the only ones that do not lie. Through the walls lies the way out of this place...	Las puertas me engañan, no quieren que me marche. Los muros son los únicos que no mienten. En los muros está la salida de este lugar...	Les portes me trompent, elles ne veulent pas que je parte. Les murs sont les seuls qui disent la vérité. La sortie de ce lieu se trouve dans les murs...	Die Türen täuschen mich. Sie möchten nicht, dass ich gehe. Doch die Mauern sprechen die Wahrheit. In diesen Mauern liegt der Weg in die Freiheit ...	Le porte mi ingannano, non vogliono ch'io vada. Le pareti sono le uniche che non mentono. Attraverso di esse si trova la via d'uscita da questo luogo...	扉は私を欺き、先へ進もうとする私を拒む。@私を偽らないのは壁だけだ。@壁の向こうに、この地から抜け出せる道があるはずだ……	문들은 날 현혹한다. 저것들은 내가 나가는 걸 원하지 않아. 오직 벽만이 거짓말을 하지 않지. 벽을 통해 나갈 수 있는 길이 분명 있을 것이다...	As portas estão me enganando, elas não querem que eu avance. As paredes são as únicas que não mentem. Para sair deste lugar, preciso atravessar essas paredes...	Двери обманывают меня, они не хотят моего ухода. Только стены не врут. Через стены лежит путь из этого места...
ST20_CORPSES/DLG_2031_0	水面宁静而黑暗，就像乌黑的大理石一般。我的脸倒映在上面，就像照在黑暗的镜子中一样，这让我无法逃出它的凝视…	The waters are tranquil and dark like the blackest of marble. My face is reflected in them as in a mirror of darkness, which prevents me from escaping its gaze...	Las aguas están lisas y oscuras como el mármol más negro. Mi rostro se refleja en ellas como en un espejo de tinieblas, que evita que pueda esquivar su mirada...	Les eaux sont tranquilles et sombres, comme le marbre le plus noir. Mon visage s'y reflète comme dans un miroir de ténèbres et me piège dans son regard...	Das Gewässer ist still und so schwarz wie der schwärzeste Marmor. Mein Gesicht spiegelt sich wie in einem Spiegel der Finsternis wider. Ich kann mich nicht von seinem starren Blick abwenden ...	Le acque sono placide e scure come il marmo più nero. Il mio volto si riflette in esse come in uno specchio di oscurità, che mi impedisce di sfuggire al suo sguardo...	漆黒の大理石のように、水は静かで真っ黒だ。@私の顔は暗闇の鏡のような水に映し出され、@私はその凝視から逃げ出すことができない……	그 물은 고요하면서도 마치 검은 대리석처럼 어두운 색을 띠고 있지. 얼굴이 마치 어둠 속 거울처럼 반사되어 내 시선조차 피할 수 없어...	A água está tranquila e escura como o mais negro dos mármores. Meu rosto reflete nela como em um espelho de escuridão, impedindo que eu escape de seu olhar...	Эти воды спокойны и темны, как чернейшая из жемчужин. Мой лик отражается в них, как в зеркале тьмы, и я не могу уйти от его взгляда...
ST20_CORPSES/DLG_2032_0	我们必须回去。我看到了阴影，我看到了黑水下的黄金。我们必须回去，接近大海之时，大海就会怒颤	We must return. I saw the shadow, I saw the gold under the black waters. We must return, the sea trembles when she is close at hand.	Debemos volver. He visto la sombra, he visto el oro bajo el agua negra. Debemos volver, el mar tiembla cuando ella está cerca.	Nous devons repartir. J'ai vu l'ombre, j'ai vu l'or sous les eaux noires. Nous devons repartir, la mer tremble lorsqu'elle est proche.	Wir müssen zurück. Ich sah den Schatten, ich sah das Goldene unter dem schwarzen Gewässer. Wir müssen zurück. Das Meer erzittert, wenn sie in der Nähe ist.	Dobbiamo tornare. Ho visto l'ombra, ho visto l'oro sotto le acque nere. Dobbiamo tornare, il mare trema quando lei è vicina.	我々は戻らねば。私は影を、黒い水中にある黄金を見た。@我々は戻らねば。海がその身を震わせるのは、@あれがすぐ近くにいる時だけだ。	돌아가야 해. 그림자와 검은 물 아래 비치는 황금을 보았어. 돌아가야 해. 그녀가 가까이 오면 바다가 요동칠 거야.	Devemos retornar. Eu vi a sombra, eu vi o ouro sob as águas negras. Devemos retornar, o oceano treme quando ela se aproxima.	Мы должны возвращаться. Мне мнилась тень, мнилось золото под черными водами. Мы должны возвращаться — море волнуется, когда она рядом.
ST20_CORPSES/DLG_2033_0	我看到了女神，她是金锦相织的忏悔者，她戴着头盔，挡面板遮住了她的眼睛，她观察负咒之人和徐徐日出之时，我们看不到她的眼睛…	I saw the lady, the penitent one of gold and brocade, the one with the helmet whose visor shades her eyes as she watches the accursed and slowly setting sun...	He visto a la señora, la penitente de oro y bordados, la del yelmo cuyo relieve cubre sus ojos, mirando al atardecer detenido y maldito...	J'ai vu la dame, la Pénitente d'or et de brocard, celle dont le casque occulte les yeux tandis qu'elle fixe le soleil maudit qui se couche lentement...	Ich habe die Dame gesehen, die Büßerin mit Gold und Brokat. Es ist jene mit Helm, dessen Visier ihre Augen schützt, während sie die verfluchte Abendsonne beobachtet ...	Ho visto la signora, la penitente d'oro e broccato, con indosso l'elmo la cui visiera oscura gli occhi mentre osserva il sole maledetto tramontare lentamente...	私は女性の姿を見た。黄金と紋織物に身を包み、@眉庇によって目元が覆われた兜を被りながら贖罪を果たす彼女は、@ゆっくりと沈んでいく忌まわしき太陽を眺めていた……	나는 금과 양단으로 치장한 참회자를, 투구의 눈가리개를 내린 채 서서히 지고 있는 저주 받을 태양을 바라보는 성녀를 보았지...	Eu vi a senhora, a penitente do ouro e bordado, aquela com o elmo cujo visor fecha seus olhos, enquanto ela assiste ao lento e amaldiçoado pôr do sol...	Мне мнилась дама, кающаяся, вся в золоте и парче, в шлеме, и забрало прикрывает ее глаза, когда она смотрит на проклятое, медленно заходящее солнце...
ST20_CORPSES/DLG_2034_0	愿奇迹保护那些毫无准备的灵魂，他们敢于挑战骷髅会的声音，而她不允许任何人打断她的歌声	May the Miracle protect the unprepared souls that dare challenge the voices of bone and skull, as She won't allow anyone to interrupt her song.	Que el Milagro ampare las almas que, desprevenidas, osen desafiar al coro de cráneo y tuétano, pues la cantora no permitirá que su copla sea interrumpida.	Puisse le Miracle protéger les âmes impréparées qui osent défier les voix de l'os et du crâne, car Elle n'autorisera personne à interrompre son chant.	Möge das Mirakel jene unvorbereiteten Seelen schützen, die sich gegen die Stimmen der Knochen und Schädel stellen, denn Sie lässt niemand ihr Lied unterbrechen.	Possa il Miracolo proteggere le anime impreparate che osano sfidare le voci di ossa e cranio, poiché Lei non permetterà a nessuno di interrompere il suo canto.	遺骨の歌声に挑む恐れ知らずで哀れな魂に、奇蹟の加護があらんことを。@自らの歌を止める者を、彼女が許すことは決してないのだから。	뼈와 두개골이 내는 목소리에 도전할 준비가 되지 않은 영혼에게 기적의 가호가 있기를. 그 가희는 노래를 방해하는 자들을 용서하지 않을 것이다.	Que o Milagre proteja as almas despreparadas que ousam desafiar as vozes de osso e crânio, pois Ela não permitirá que ninguém interrompa sua canção.	Да защитит Чудо беспечные души, которые смеют бросить вызов голосам костей и черепов, ибо Она никому не позволит прервать свою песнь.
ST21_JAILED_GHOST/DLG_2101_0	不要怕我的身体，因为有那么多光明和黑暗穿过了它；也不要怕我的脸，它从这些金条后面显出了丑态	Do not fear my body, through which so much lightness and darkness pass, nor my visage, which appears disfigured from behind these golden bars.	No temáis a mi cuerpo, que tanto claridad y oscuridad atraviesan; ni a mi rostro, desfigurado entre estas rejas de oro.	Ne craignez pas mon corps, traversé par tant de lumière et d'obscurité, ni mon visage, qui paraît défiguré derrière ces barreaux d'or.	Fürchtet nicht meinen Körper, durch den so viel Licht und Dunkelheit strömt, noch mein Antlitz, das hinter diesen goldenen Gitterstäben entstellt erscheint.	Non temete il mio corpo, attraverso il quale passano allo stesso tempo lucentezza e oscurità, né il mio viso, che appare sfigurato da dietro queste sbarre dorate.	多くの光や闇が通り抜けるこの体や@金格子の背後にあるこの醜い貌を 恐れる必要はありません	빛과 어둠이 통과하는 내 몸도 이 황금 철장 뒤에 훼손되어 보이는 내 얼굴도 두려워하지 마세요.	Não tema meu corpo, por meio do qual passam tanta luz e escuridão, nem meu rosto, que parece desfigurado atrás dessas barras douradas.	Не бойся тела моего, через которое струятся свет и тьма. Не бойся лика моего, который кажется уродливым из-за этих золотых прутьев.
ST21_JAILED_GHOST/DLG_2101_1	我叫索利达，奉圣王之命被锁在这个笼子里，然后奇迹开始装饰起了它	Soledad by name, I was locked up on the orders of His Holiness in this cage that the Miracle then proceeded to decorate.	Soledad por nombre, fui encerrada por orden de Su Santidad en esta jaula que luego el Milagro se encargó de ornamentar.	Soledad de nom, on m'enferma sur ordre de Sa Sainteté dans cette cage, que le Miracle entreprit ensuite de décorer.	Soledad ist mein Name. Ich wurde auf Geheiß Seiner Heiligkeit in diesen Käfig gesperrt, den das Mirakel schließlich schmückte.	Soledad è il mio nome, sono stata rinchiusa per ordine di Sua Santità in questa gabbia che il Miracolo ha poi provveduto a decorare.	わたくしの名はソレダット　聖下の命により わたくしはこの檻に@閉じ込められ そして奇蹟がこの檻を飾り立てたのです	저의 이름은 솔데다드, 교황 성하의 명에 따라 기적이 장식하신 이 철장에 갇혔습니다.	Soledad é meu nome, e fui encarcerada por ordem de Sua Santidade nesta prisão, que foi decorada pelo próprio Milagre.	Соледад имя мне — Одиночество. Меня заперли по приказу Его Святейшества в этой клетке, а потом Чудо продолжило украшать ее.
ST21_JAILED_GHOST/DLG_2101_2	当我的身体还是蓝色的火焰时，至高意志给了我帮助你的机会	The High Will has granted me the opportunity to help you while my body remains a blue flame.	La Alta Voluntad me ha otorgado la oportunidad de ayudaros mientras mi cuerpo siga siendo una llama azulada.	La Volonté supérieure m'a donné l'occasion de vous aider, tandis que mon corps reste une flamme bleue.	Der Höhere Wille schenkte mir die Fähigkeit, Euch zu helfen, während mein Körper eine blaue Flamme bleibt.	La Volontà Suprema mi ha concesso l'opportunità di aiutarvi mentre il mio corpo rimane una fiamma blu.	この体の青い炎が消える前に あなた様を手助けする機会を@天の意志は授けてくださいました	나의 몸은 푸른 불꽃이 되었으나, 신께서 나에게 당신을 도울 기회를 주셨습니다.	A Vontade Suprema me concedeu a oportunidade de ajudar você enquanto meu corpo permanece uma chama azul.	Высшая Воля даровала мне возможность помочь тебе, но тело мое остается синим пламенем.
ST21_JAILED_GHOST/DLG_2101_3	我将等待，沉睡，直到你把这些念珠绳结交给我，好让我的烟之手把它们扎起来，这样就让你的念珠串拥有了新的奥秘	I will wait, sleeping, until you hand the knots over to me so that my hands of smoke may tie them, thus expanding the mysteries of your rosary.	Esperaré dormida a que me entreguéis los nudos para que mis manos de humo los engarcen, ampliando así los misterios de vuestro rosario.	J'attendrai en sommeil jusqu'à ce que vous me remettiez les nœuds, afin que mes mains de fumée puissent les nouer, et ainsi prolonger les mystères de votre rosaire.	Ich werde warten, schlafend, bis Ihr mir die Knoten gebt, auf dass meine Hände aus Rauch sie knüpfen, und die Mysterien Eures Rosenkranzes weiter wachsen.	Aspetterò, dormendo, che mi consegniate i Nodi, affinché le mie mani di fumo possano legarli, ampliando così i misteri del vostro rosario.	あなた様が結び目を持ってくるのを 眠りにつきながら待っています@煙の手で結び目を編み込み ロザリオの神秘を強めて差し上げましょう	당신이 매듭을 나에게 가져와 내 연기로 된 손으로 묶고 묵주의 신비를 확장할 수 있을 때까지, 나는 여기에서 잠을 자며 기다리겠습니다.	Eu aguardarei, dormindo, até que você entregue os nós para mim, para que minhas mãos de fumaça possam amarrá-los, expandindo, assim, os mistérios de seu rosário.	Я буду ждать, спать, пока не отдашь мне узлы, чтобы мои дымные руки связали их и твой розарий обрел новые тайны.
ST21_JAILED_GHOST/DLG_2102_0	一旦你拥有了新的念珠串绳结，就记得回来吧	Return once you possess new rosary knots to thread.	Volved cuando poseáis nudos de rosario.	Revenez lorsque vous posséderez de nouveaux nœuds de rosaire à nouer.	Kehrt zurück, wenn Ihr weitere Rosenkranzknoten habt, die geknüpft werden sollen.	Ritornate non appena sarete in possesso di nuovi Nodi del rosario da infilare.	ロザリオの結び目を新たに見つけたら ここに戻ってきてください	엮을 수 있는 묵주의 새 매듭을 구하면 돌아오세요.	Volte quando tiver novas contas de rosário para amarrar.	Возвращайся с новыми узлами.
ST21_JAILED_GHOST/DLG_2102_1	愿你的内心能从罪孽中解脱	May your heart be free of sin.	Sin pecado Corazón Sea.	Puisse votre cœur être libéré de tout péché.	Möge Euer Herz frei von Sünde sein.	Che il vostro cuore sia libero dal peccato.	あなた様の心が 罪業から解き放たれますよう	마음의 죄에서 자유로워지기를.	Que o seu coração se liberte do pecado.	Да пребудет твое сердце свободным от греха.
ST21_JAILED_GHOST/DLG_2103_0	现在，让我来系上一个新的奥秘吧	Now let my fingers tie a new mystery.	Ahora dejad que mis dedos anuden un nuevo misterio.	Et maintenant, laissez vos doigts nouer un nouveau mystère.	Nun lasst meine Finger ein neues Mysterium knüpfen.	Ora lasciate che le mie dita leghino un nuovo mistero.	我が指で 新たな神秘を結んで差し上げましょう	이제 내 손가락으로 새로운 신비를 엮어드리죠.	Agora, permita que meus dedos amarrem um novo mistério.	А теперь позволь моим пальцам завязать новую тайну.
ST21_JAILED_GHOST/DLG_2104_0	你的念珠串的奥秘现在完成了	The mysteries of your rosary are now complete.	Los misterios de vuestro rosario están ahora completos.	Les mystères de votre rosaire sont à présent complets.	Die Mysterien Eures Rosenkranzes sind nun vollständig.	I misteri del vostro rosario sono ora completi.	あなた様のロザリオが持つ神秘は 今ここに完成を迎えました	묵주의 신비가 완성됐습니다.	Você completou todos os mistérios do seu rosário.	Тайны твоего розария теперь завершены.
ST21_JAILED_GHOST/DLG_2104_1	我的任务完成了，虽然我的罪孽现在已经不可饶恕	My task is complete, although my sins have now become unforgivable as a result.	Mi cometido está cumplido, aunque por ello mis pecados se han vuelto ahora imperdonables.	Ma tâche est terminée, même si par conséquent, mes péchés sont devenus impardonnables.	Meine Aufgabe ist erfüllt, obwohl meine Sünden dadurch nun unverzeihlich sind.	Il mio compito è terminato, anche se i miei peccati sono diventati ormai imperdonabili.	そしてわたくしの責務もまた 終わりを迎えました@それにより わたくしの罪業は許しがたいものとなってしまいましたが	나의 소임을 완료했군요. 비록 그 결과 나의 죄는 용서받을 수 없게 됐지만요.	Minha tarefa está concluída, mas, como resultado, agora meus pecados se tornaram imperdoáveis.	Моя задача выполнена, хоть теперь мои грехи неискупимы.
ST21_JAILED_GHOST/DLG_2104_2	我不知道我会去哪里，但我确信它不会是大梦境的另一边	I do not know where I will go, but I am sure that it will not be to the other side of the Dream.	No sé adónde marcharé, pero estoy segura que no será al otro lado del Sueño.	J'ignore où j'irai, mais ce ne sera certainement pas de l'autre côté du Rêve.	Ich weiß nicht, wohin ich gehen werde, aber ich bin sicher, dass es nicht die andere Seite des Traums ist.	Non so dove andrò, ma sono certa che non sarà dall'altra parte del Sogno.	これからこの身がどこへ向かうのか わたくしにはわかりません@ですが 夢の向こう岸でないことだけは明らかです	어디로 가야 할지 모르겠지만, 내가 가는 곳은 꿈의 저편은 아닐 것입니다.	Não sei ao certo aonde irei, só sei que não será para o outro lado do Sonho.	Я не знаю, куда пойду, но точно знаю, что не на ту сторону Сна.
ST21_JAILED_GHOST/DLG_2105_0	我蓝色火焰的身体被熄灭了…	My body of blue flame is being extinguished...	Mi cuerpo de llama azul se apaga...	Mon corps de flamme bleue va s'éteindre...	Mein blau flammender Körper wird ausgelöscht ...	Il mio corpo di fiamma blu si sta esaurendo...	わたくしの体 この青い炎は消え去りました……	푸른 불꽃으로 된 내 몸이 꺼져갑니다...	Meu corpo azul incandescente está se extinguindo...	Мое тело из синего пламени скоро погаснет...
ST21_JAILED_GHOST/DLG_2106_0	你为我带来了更多的念珠绳结吗，忏悔者？	Do you have more knots for me, Penitent One?	¿Tenéis más nudos para mi, Penitente?	Avez-vous d'autres nœuds pour moi, Pénitent ?	Habt Ihr weitere Knoten für mich, Büßer?	Avete altri Nodi per me, Penitente?	まだ結び目をお持ちなのですか 悔悟者よ？	매듭을 더 가져왔나요, 참회자여?	Você tem mais nós para mim, Penitente?	У тебя есть новые узлы для меня, Кающийся?
ST21_JAILED_GHOST/MSG_2101_0	可用新的神秘念珠串	New Rosary Mystery available.	Nuevo misterio de rosario disponible.	Nouveau Mystère de Rosaire disponible.	Neues Rosenkranz-Mysterium verfügbar.	Nuovo Mistero del rosario disponibile.	ロザリオに新たな神秘が編み込まれた。	새로운 묵주의 신비를 이용할 수 있습니다.	Novo Mistério do Rosário disponível.	Доступна новая тайна розария.
